Link	Açıklama
3254001	Rusya ile Vietnam kapsamlı stratejik ortaklığı geliştirecek
3254002	٥٠ منداڵی برینداری غەززەیی لە کۆڵۆمبیا چارەسەر وەردەگرن
3254003	مسابقات قهرمانی والیبال ناشنوایان جهان فردا در ژاپن آغاز می‌شود
3254004	Načelnik Zajedničkog štaba OS BiH na sajmu naoružanja u Parizu
3254005	İran'dan Kanada'nın Devrim Muhafızlarını "terör örgütleri listesine" alma kararına tepki
3254007	Londra'da çevre eylemcileri, fosil yakıtların kaldırılması çağrısıyla özel jetleri turuncuya boyadı
3254009	Израелската Армија ослободи 33 Палестинци кои ги приведе за време на нападите врз Газа
3254010	A Milli Futbol Takımı, FIFA dünya sıralamasında 2 basamak geriledi
3254011	لە چوار ڕۆژی جەژندا زیاتر لە ٨٤ هەزار گەشتیار ڕوویان لە سەیرانگاکانی هەڵەبجە کردووە
3254012	Forcat izraelite bastisin qytetin Jenin në Bregun Perëndimor
3254015	Şarköy 18 yıldır mavi bayraklı plajlarıyla tatilcileri ağırlıyor
3254018	Israël libère 33 Palestiniens arrêtés lors de l'invasion de la bande de Gaza  
3254019	Izraeli liron 33 palestinezë me shenja torture të arrestuar në Gaza
3254020	Бројот на палестинските бегалци надминува 6 милиони
3254021	ارتش اسرائیل 33 فلسطینی را آزاد کرد؛ آثار شکنجه در بدن آن‌ها مشاهده شد
3254022	AB'den Rusya'ya yeni yaptırımlar
3254023	Basketbolda sezon sona erdi, şampiyonlar belli oldu
3254024	Crna Gora: Dvije osobe stradale u eksploziji bombe u blizini Sportskog centra na Cetinju
3254025	Благодарение на мигрантите во Германија се очекува раст на населението до 2045 година
3254029	Inde : 34 morts dans le sud du pays après la consommation d'alcool frelaté
3254030	Premier liga: Steve Cooper novi menadžer Leicester Cityja
3254031	Malezijski premijer: Ne plašimo se kineske ekonomske i vojne dominacije
3254032	Milli atlet Alperen Acet, Slovakya'daki yarışta olimpiyat şampiyonu Tamberi'nin önünde birinci oldu
3254033	Новиот анимиран филм „Супер Марио“ во кината во пролет 2026 година
